GISJOIN,YEAR,COUNTY,POPULATION
G1800950,1950,Madison,103911
G1800970,1950,Marion,551777
G1800990,1950,Marshall,29468
G1801010,1950,Martin,10678
G1801030,1950,Miami,28201
G1801050,1950,Monroe,50080
G1801070,1950,Montgomery,29122
G1801090,1950,Morgan,23726
G1801110,1950,Newton,11006
G1801130,1950,Noble,25075
G1801150,1950,Ohio,4223
G1801170,1950,Orange,16879
G1801190,1950,Owen,11763
G1801210,1950,Parke,15674
G1801230,1950,Perry,17367
G1801250,1950,Pike,14995
G1801270,1950,Porter,40076
G1801290,1950,Posey,19818
G1801310,1950,Pulaski,12493
G1801330,1950,Putnam,22950
G1801350,1950,Randolph,27141
G1801370,1950,Ripley,18763
G1801390,1950,Rush,19799
G1801410,1950,St Joseph,205058
G1801430,1950,Scott,11519
G1801450,1950,Shelby,28026
G1801470,1950,Spencer,16174
G1801490,1950,Starke,15282
G1801510,1950,Steuben,17087
G1801530,1950,Sullivan,23667
G1801550,1950,Switzerland,7599
G1801570,1950,Tippecanoe,74473
G1801590,1950,Tipton,15566
G1801610,1950,Union,6412
G1801630,1950,Vanderburgh,160422
G1801650,1950,Vermillion,19723
G1801670,1950,Vigo,105160
G1801690,1950,Wabash,29047
G1801710,1950,Warren,8535
G1801730,1950,Warrick,21527
G1801750,1950,Washington,16520
G1801770,1950,Wayne,68566
G1801790,1950,Wells,19564
G1801810,1950,White,18042
G1801830,1950,Whitley,18828
G1900010,1950,Adair,12292
G1900030,1950,Adams,8753
G1900050,1950,Allamakee,16351
G1900070,1950,Appanoose,19683
G1900090,1950,Audubon,11579
G1900110,1950,Benton,22656
G1900130,1950,Black Hawk,100448
G1900150,1950,Boone,28139
G1900170,1950,Bremer,18884
G1900190,1950,Buchanan,21927
G1900210,1950,Buena Vista,21113
G1900230,1950,Butler,17394
G1900250,1950,Calhoun,16925
G1900270,1950,Carroll,23065
G1900290,1950,Cass,18532
G1900310,1950,Cedar,16910
G1900330,1950,Cerro Gordo,46053
G1900350,1950,Cherokee,19052
G1900370,1950,Chickasaw,15228
G1900390,1950,Clarke,9369
G1900410,1950,Clay,18103
G1900430,1950,Clayton,22522
G1900450,1950,Clinton,49664
G1900470,1950,Crawford,19741
G1900490,1950,Dallas,23661
G1900510,1950,Davis,9959
G1900530,1950,Decatur,12601
G1900550,1950,Delaware,17734
G1900570,1950,Des Moines,42056
